[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/FontAwesome.otf
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/brands.js
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/regular.js
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/solid.js
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/json/brands.json
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/json/regular.json
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/json/solid.json
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/migration/mapping.js
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff
[2024-11-09 06:11:27] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/hover/hover.css
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/hover/hover.min.css
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/imagesloaded/imagesloaded.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/imagesloaded/imagesloaded.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/inline-editor/js/inline-editor.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/inline-editor/js/inline-editor.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/jquery-easing/jquery-easing.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/jquery-easing/jquery-easing.min.js
[2024-11-09 06:11:28] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/diploma-batch-76/wordpress/wp-content/plugins/elementor/assets/lib/jquery-hover-intent/jquery-hover-intent.js
